c01  331.2987
c01  331.4282
c01  331.4875
c01  331.5004
c01  331.5710
c01  331.5882
c01  331.6321
c01  331.6449
c01  331.6683
c01  331.7035
c01  331.7476
c01  331.7508
c01  331.7601
c01  331.8322
c01  331.8342
c01  331.9066
c01  331.9568
c02  328.5915
c02  328.6490
c02  328.7468
c02  328.7510
c02  328.7884
c02  328.8389
c02  328.8439
c02  328.8476
c02  328.8514
c02  328.9932
c02  329.0085
c02  329.0117
c02  329.0332
c02  329.0568
c02  329.0884
c02  329.1321
c03  335.2354
c03  335.2848
c03  335.2901
c03  335.3038
c03  335.3185
c03  335.3397
c03  335.3481
c03  335.3584
c03  335.3655
c03  335.3812
c03  335.3816
c03  335.3944
c03  335.4138
c03  335.4246
c03  335.4343
c03  335.4348
c03  335.4642
c03  335.4680
c03  335.4916
c03  335.4971
c03  335.5037
c03  335.5075
c03  335.5178
c03  335.5323
c03  335.5437
c03  335.5472
c03  335.5474
c03  335.5634
c03  335.5647
c03  335.5648
c03  335.5650
c03  335.5690
c03  335.5903
c03  335.5915
c03  335.5935
c03  335.5937
c03  335.6006
c03  335.6066
c03  335.6115
c03  335.6183
c03  335.6188
c03  335.6290
c03  335.6364
c03  335.6432
c03  335.6531
c03  335.6533
c03  335.6553
c03  335.6646
c03  335.6670
c03  335.6760
c03  335.6777
c03  335.6789
c03  335.6819
c03  335.6819
c03  335.6823
c03  335.6832
c03  335.6837
c03  335.6871
c03  335.6903
c03  335.7000
c03  335.7018
c03  335.7114
c03  335.7130
c03  335.7205
c03  335.7222
c03  335.7367
c03  335.7408
c03  335.7419
c03  335.7463
c03  335.7473
c03  335.7513
c03  335.7563
c03  335.7592
c03  335.7618
c03  335.7665
c03  335.7767
c03  335.7771
c03  335.7792
c03  335.7844
c03  335.7861
c03  335.7884
c03  335.7926
c03  335.7961
c03  335.8140
c03  335.8351
c03  335.8692
c03  335.9046
c03  335.9164
c03  335.9277
c03  335.9436
c03  335.9778
c04  330.0060
c04  330.0723
c04  330.1099
c04  330.1261
c04  330.1343
c04  330.1594
c04  330.1933
c04  330.1999
c04  330.2182
c04  330.2212
c04  330.2265
c04  330.2360
c04  330.2455
c04  330.2609
c04  330.2634
c04  330.2639
c04  330.2641
c04  330.2652
c04  330.2658
c04  330.2669
c04  330.2680
c04  330.2694
c04  330.2746
c04  330.2984
c04  330.3120
c04  330.3158
c04  330.3200
c04  330.3219
c04  330.3235
c04  330.3244
c04  330.3253
c04  330.3254
c04  330.3256
c04  330.3269
c04  330.3293
c04  330.3335
c04  330.3347
c04  330.3459
c04  330.3467
c04  330.3501
c04  330.3527
c04  330.3536
c04  330.3542
c04  330.3554
c04  330.3597
c04  330.3640
c04  330.3648
c04  330.3661
c04  330.3702
c04  330.3739
c04  330.3745
c04  330.3756
c04  330.3788
c04  330.3801
c04  330.3859
c04  330.3894
c04  330.3900
c04  330.3929
c04  330.4124
c04  330.4203
c04  330.4241
c04  330.4278
c04  330.4326
c04  330.4326
c04  330.4392
c04  330.4427
c04  330.4437
c04  330.4503
c04  330.4554
c04  330.4556
c04  330.4560
c04  330.4642
c04  330.4715
c04  330.4731
c04  330.4743
c04  330.4786
c04  330.4876
c04  330.4906
